Entity,Code,Year,"Hospital beds (per 1,000 people)"
Djibouti,DJI,2017,1.399999976158140
Dominica,DMA,2012,3.799999952316280
Dominican Republic,DOM,2017,1.559999942779540
Ecuador,ECU,2016,1.3899999856948900
Egypt,EGY,2017,1.4299999475479100
El Salvador,SLV,2017,1.2000000476837200
Equatorial Guinea,GNQ,2010,2.0999999046325700
Estonia,EST,2018,4.570000171661380
Eswatini,SWZ,2011,2.0999999046325700
Ethiopia,ETH,2016,0.33000001311302200
Fiji,FJI,2016,2
Finland,FIN,2018,3.609999895095830
France,FRA,2018,5.909999847412110
Gabon,GAB,2010,6.300000190734860
Gambia,GMB,2011,1.100000023841860
Georgia,GEO,2014,2.890000104904180
Germany,DEU,2017,8
Ghana,GHA,2011,0.8999999761581420
Greece,GRC,2018,4.199999809265140
Grenada,GRD,2017,3.569999933242800
Guatemala,GTM,2017,0.4399999976158140
Guinea,GIN,2011,0.30000001192092900
Guinea-Bissau,GNB,2009,1
Guyana,GUY,2016,1.7100000381469700
Haiti,HTI,2013,0.7099999785423280
Honduras,HND,2017,0.6399999856948850
Hong Kong,HKG,1985,4.890900135040280
Hungary,HUN,2018,7.010000228881840
Iceland,ISL,2019,2.8299999237060500
India,IND,2017,0.5299999713897710
Indonesia,IDN,2017,1.0399999618530300
Iran,IRN,2017,1.559999942779540
Iraq,IRQ,2017,1.3200000524520900
Ireland,IRL,2018,2.9700000286102300
Israel,ISR,2018,2.9800000190734900
Italy,ITA,2018,3.140000104904180
Jamaica,JAM,2017,1.7200000286102300
Japan,JPN,2018,12.979999542236300
Jordan,JOR,2017,1.4700000286102300
Kazakhstan,KAZ,2014,6.059999942779540
Kenya,KEN,2010,1.399999976158140
Kiribati,KIR,2016,1.8600000143051100
Kuwait,KWT,2017,2.0399999618530300
Kyrgyzstan,KGZ,2014,4.409999847412110
Laos,LAO,2012,1.5
Latvia,LVA,2018,5.489999771118160
Lebanon,LBN,2017,2.7300000190734900
Lesotho,LSO,2006,1.2999999523162800
Liberia,LBR,2010,0.800000011920929
Libya,LBY,2017,3.200000047683720
Lithuania,LTU,2018,6.429999828338620
Luxembourg,LUX,2019,4.260000228881840
Macao,MAC,1970,5.295300006866460
Madagascar,MDG,2010,0.20000000298023200
Malawi,MWI,2011,1.2999999523162800
Malaysia,MYS,2017,1.8799999952316300
Maldives,MDV,2009,4.300000190734860
Mali,MLI,2010,0.10000000149011600
Malta,MLT,2017,4.489999771118160
Mauritania,MRT,2006,0.4000000059604650
Mauritius,MUS,2011,3.4000000953674300
Mexico,MEX,2018,0.9800000190734860
Micronesia (country),FSM,2009,3.200000047683720
Moldova,MDA,2014,5.659999847412110
Mongolia,MNG,2017,8
Montenegro,MNE,2017,3.859999895095830
Morocco,MAR,2017,1
Mozambique,MOZ,2011,0.699999988079071
Myanmar,MMR,2017,1.0399999618530300
Namibia,NAM,2009,2.700000047683720
Nauru,NRU,2010,5
Nepal,NPL,2012,0.30000001192092900
Netherlands,NLD,2018,3.1700000762939500
New Zealand,NZL,2019,2.569999933242800
Nicaragua,NIC,2017,0.9300000071525570
Niger,NER,2017,0.38999998569488500
Nigeria,NGA,2004,0.5
North Macedonia,MKD,2017,4.28000020980835
Norway,NOR,2018,3.5299999713897700
Oman,OMN,2017,1.4700000286102300
Pakistan,PAK,2017,0.6299999952316280
Palestine,PSE,1996,1.2000000476837200
Panama,PAN,2016,2.25
Papua New Guinea,PNG,1990,4.024199962615970
Paraguay,PRY,2016,0.8299999833107000
Peru,PER,2017,1.590000033378600
Philippines,PHL,2014,0.9900000095367430
Poland,POL,2018,6.539999961853030
Portugal,PRT,2018,3.450000047683720
Puerto Rico,PRI,1996,3.319999933242800
Qatar,QAT,2017,1.25
Romania,ROU,2017,6.889999866485600
Russia,RUS,2018,7.119999885559080
Rwanda,RWA,2007,1.600000023841860
Saint Lucia,LCA,2017,1.2999999523162800
Saint Vincent and the Grenadines,VCT,2016,4.320000171661380
Samoa,WSM,2007,1
San Marino,SMR,2012,3.799999952316280
Sao Tome and Principe,STP,2011,2.9000000953674300
Saudi Arabia,SAU,2017,2.240000009536740
Senegal,SEN,2008,0.30000001192092900
Serbia,SRB,2017,5.610000133514400
Seychelles,SYC,2011,3.5999999046325700
Sierra Leone,SLE,2006,0.4000000059604650
Singapore,SGP,2016,2.4800000190734900
Slovakia,SVK,2018,5.699999809265140
Slovenia,SVN,2018,4.429999828338620
Solomon Islands,SLB,2012,1.399999976158140
Somalia,SOM,2017,0.8700000047683720
South Africa,ZAF,2010,2.299999952316280
South Korea,KOR,2018,12.430000305175800
Spain,ESP,2018,2.9700000286102300
Sri Lanka,LKA,2017,4.150000095367430
Sudan,SDN,2017,0.7400000095367430
Suriname,SUR,2017,3
Sweden,SWE,2018,2.140000104904180
Switzerland,CHE,2018,4.630000114440920
Syria,SYR,2017,1.399999976158140
Tajikistan,TJK,2014,4.670000076293950
Tanzania,TZA,2010,0.699999988079071
Thailand,THA,2010,2.0999999046325700
Timor,TLS,2010,5.900000095367430
Togo,TGO,2011,0.699999988079071
Tonga,TON,2010,2.5999999046325700
Trinidad and Tobago,TTO,2017,3.0199999809265100
Tunisia,TUN,2017,2.180000066757200
Turkey,TUR,2018,2.8499999046325700
Turkmenistan,TKM,2014,4.03000020980835
Tuvalu,TUV,2001,5.599999904632570
Uganda,UGA,2010,0.5
Ukraine,UKR,2014,7.460000038146970
United Arab Emirates,ARE,2017,1.3799999952316300
United Kingdom,GBR,2019,2.4600000381469700
United States,USA,2017,2.869999885559080
Uruguay,URY,2017,2.430000066757200
Uzbekistan,UZB,2014,3.9800000190734900
Vanuatu,VUT,2008,1.7000000476837200
Venezuela,VEN,2017,0.8700000047683720
Vietnam,VNM,2014,2.5999999046325700
Yemen,YEM,2017,0.7099999785423280
Zambia,ZMB,2010,2
Zimbabwe,ZWE,2011,1.7000000476837200
